Command,Category,Detailed Description
"new","01-File & Session","[Essential] Create a new session, clearing all loaded tracks, data, and groups, keeping only default genome annotations."
"genome <genomeIdOrPath>","01-File & Session","[Basic] Load a reference genome. Supports standard abbreviations (e.g. hg38) or local .genome/FASTA file paths."
"load <file/URL> [index=]","01-File & Session","[Core] Load BAM/VCF/BigWig etc. data. Supports local paths or remote URLs, with optional index file."
"saveSession <filename>","01-File & Session","Save the current session state as a complete XML session file (absolute path recommended)."
"goto <locus>","02-Navigation","[Core Jump] Navigate to a specified locus. Supports gene names (e.g. MYC) or coordinates (e.g. chr1:1000-2000), multi-locus split view."
"region <chr> <start> <end>","02-Navigation","Define a Region of Interest (ROI) as a colored vertical highlight on the coordinate axis."
"sort base","03-Sorting","[Most Common] Sort by base at the view center (or specified position), clustering reads containing mutations (SNP/SNV)."
"sort position","03-Sorting","[Common] Sort by the start position of read alignments."
"sort strand","03-Sorting","[Common] Sort by the strand of read alignment. Useful for strand-specific sequencing data."
"sort insertSize","03-Sorting","[SV Preferred] Sort by insert size of paired-end reads. Helps locate large deletions or insertions (structural variants)."
"sort sample","03-Sorting","Sort by sample name when multiple samples are loaded in a track."
"sort readGroup","03-Sorting","Sort reads by Read Group (RG tag) defined in the BAM header."
"sort mateChr","03-Sorting","Sort by the chromosome of the mate read. Excellent for detecting inter-chromosomal translocations."
"sort firstOfPairStrand","03-Sorting","For paired-end data, sort by the strand of Read 1."
"sort quality","03-Sorting","Sort by base quality at the center position. Helps identify false positives from low-quality sequencing."
"sort TAG <tag_name>","03-Sorting","Sort by a user-defined BAM tag (e.g. HP, NM)."
"group base_at_pos","04-Grouping","[Common] Group reads by base type at the center position (separates A/T/C/G into different blocks)."
"group strand","04-Grouping","[Common] Group reads by strand."
"group pairOrientation","04-Grouping","[SV Preferred] Group by paired-end orientation (FR/RF/LL/RR). Helps discover inversions or tandem duplications."
"group sample","04-Grouping","Group by sample attribute."
"group readGroup","04-Grouping","Group by Read Group (RG tag)."
"group TAG <tag_name>","04-Grouping","Group by a specified BAM tag (e.g. CB tag commonly used in single-cell sequencing)."
"group firstOfPairStrand","04-Grouping","Group by the strand of Read 1 in paired-end data."
"group mateChr","04-Grouping","Group by the chromosome of the mate read."
"group none","04-Grouping","Cancel all grouping operations, restoring the default continuous stacking."
"colorBy strand","05-Coloring","[Common] Color by alignment strand (typically red for forward, blue for reverse)."
"colorBy insertSize","05-Coloring","[Common] Color by insert size and anomaly status, visually exposing structural variant sites."
"colorBy pairOrientation","05-Coloring","Color reads by paired-end orientation. Useful for visualizing inversions, translocations, etc."
"colorBy TAG <tag_name>","05-Coloring","Auto-assign colors based on a specific tag's value range."
"colorBy readGroup","05-Coloring","Assign distinct colors for different Read Groups."
"colorBy none","05-Coloring","Clear all coloring rules, restore default gray."
"expand","06-Layout & Tracks","[Detailed View] Default mode. Each read shown on a separate line with full alignment details."
"squish","06-Layout & Tracks","[High Coverage] Squish view: reduce row height to display as many reads as possible, suitable for high-depth regions."
"collapse","06-Layout & Tracks","[Coverage Overview] Collapse view: compress track height to minimum, hiding overlapping read details. For rough whole-genome coverage view."
"viewaspairs","06-Layout & Tracks","[Paired View] Pair connection mode: draw thin gray lines connecting mate reads."
"setDataRange <min> <max>","06-Layout & Tracks","[Essential for Epigenetics/Quantitative] Fix the Y-axis data range for chart-type tracks, ensuring consistent comparison across samples."
"overlay <target> <tracks>","06-Layout & Tracks","Overlay multiple numeric tracks into a single view. Greatly facilitates ChIP-seq peak comparison."
"setColor <R,G,B> [track]","06-Layout & Tracks","Change the color of a specified track using RGB values (e.g. 255,0,0)."
"setAltColor <R,G,B> [track]","06-Layout & Tracks","Set an alternate color for a specified track. Useful for negative values or separating strands."
"setLogScale","06-Layout & Tracks","Switch chart data tracks (e.g. BigWig) to logarithmic scale display."
"snapshotDirectory <path>","07-Export Screenshot","[Batch Processing Essential] Set the absolute local folder path for saving subsequent snapshot images. e.g. C:/download/"
"snapshot [filename]","07-Export Screenshot","[Core Output] Take a screenshot of the current IGV view. Supports .png or vector .svg format. e.g. screenshot_20260630.png"
"maxPanelHeight <height>","07-Export Screenshot","[Anti-Truncation] Set the maximum vertical pixel height for screenshots. Increase for tall captures; -1 for visible area only."
"setSleepInterval <ms>","08-System Settings","[Anti-Error] Set the sleep interval between batch commands to prevent network/I/O delays from causing unloaded data on capture."
"preference <key> <value>","08-System Settings","Temporarily modify advanced low-level preference settings; reset after IGV restart."
"echo [param]","08-System Settings","Debug use in port mode: echo the input parameter to verify connectivity."
"exit","08-System Settings","[Automation Cleanup] Fully exit and close the IGV process, releasing memory."
