命令(Command),类别(Category),详细中文解释(Detailed Description)
"new","01-文件与会话(File)","【起始必备】新建会话，清除当前所有加载的轨道、数据和分组，仅保留默认的基因组注释。"
"genome <genomeIdOrPath>","01-文件与会话(File)","【基础环境】加载参考基因组，支持标准缩写(如hg38)或本地.genome/fasta文件路径。"
"load <file/URL> [index=]","01-文件与会话(File)","【核心操作】加载BAM/VCF/BigWig等数据，支持本地路径或远程URL，可指定索引文件。"
"saveSession <filename>","01-文件与会话(File)","将当前的工作状态保存为一个完整的XML会话文件(建议用绝对路径)。"
"goto <locus>","02-导航控制(Navigation)","【核心跳转】跳转到指定位置，支持基因名(如MYC)或具体坐标(如chr1:1000-2000)，支持多位点分屏。"
"region <chr> <start> <end>","02-导航控制(Navigation)","定义感兴趣区域(ROI)，在坐标轴上创建一个带颜色的垂直高亮区域。"
"sort base","03-排序(Sorting)","【最常用】按照视图中心位置（或指定位置）的碱基进行排序，可将包含突变(SNP/SNV)的reads集中。"
"sort position","03-排序(Sorting)","【常用】按照 read 比对的起始物理位置进行排序。"
"sort strand","03-排序(Sorting)","【常用】按照 read 比对的正负链方向进行排序，常用于链特异性测序数据查看。"
"sort insertSize","03-排序(Sorting)","【结构变异首选】按照双端测序的插入片段长度进行排序，有助于定位大片段缺失或插入等SV。"
"sort sample","03-排序(Sorting)","当轨道中加载了多样本数据时，按照样本名称进行排序。"
"sort readGroup","03-排序(Sorting)","按照 BAM 文件头部定义的 Read Group (RG标签) 对 reads 进行排序。"
"sort mateChr","03-排序(Sorting)","按照当前 read 的配对片段所在的染色体进行排序，是寻找跨染色体易位的利器。"
"sort firstOfPairStrand","03-排序(Sorting)","针对双端测序数据，按照 Read 1（首端测序片段）所在的链方向进行排序。"
"sort quality","03-排序(Sorting)","按照中心位置的碱基质量(Base Quality)排序，有助于排查低质量测序导致的假阳性。"
"sort TAG <tag_name>","03-排序(Sorting)","按照用户自定义指定的BAM标签(如HP、NM等)进行排序。"
"group base_at_pos","04-分组(Grouping)","【常用】按照中心位置的碱基类型对 reads 进行分组（将A/T/C/G分隔成不同区块）。"
"group strand","04-分组(Grouping)","【常用】按照 read 的正负链进行分组显示。"
"group pairOrientation","04-分组(Grouping)","【结构变异首选】按双端配对方向(如FR/RF/LL/RR)分组显示，有助于发现基因组倒位或串联重复。"
"group sample","04-分组(Grouping)","按照样本(Sample)属性进行分组。"
"group readGroup","04-分组(Grouping)","按照 Read Group (RG标签) 分组。"
"group TAG <tag_name>","04-分组(Grouping)","按照指定的BAM标签进行分组(如单细胞测序中常用的CB标签)。"
"group firstOfPairStrand","04-分组(Grouping)","按照双端测序中首片段所在链方向分组。"
"group mateChr","04-分组(Grouping)","按照配对片段所在的染色体进行分组。"
"group none","04-分组(Grouping)","取消当前的任何分组操作，恢复默认的连续堆叠状态。"
"colorBy strand","05-着色(Coloring)","【常用】按照比对链方向对着色（通常正链为红色，负链为蓝色）。"
"colorBy insertSize","05-着色(Coloring)","【常用】按照插入片段长度及异常状态标色，可直观暴露结构变异位点。"
"colorBy pairOrientation","05-着色(Coloring)","按照双端方向对 reads 着色，用于可视化倒位、异位等变异。"
"colorBy TAG <tag_name>","05-着色(Coloring)","按照特定标签的值域自动分配颜色。"
"colorBy readGroup","05-着色(Coloring)","为不同的 Read Group 赋予不同的区分颜色。"
"colorBy none","05-着色(Coloring)","清除所有着色规则，恢复默认灰色。"
"expand","06-视图与轨道(Layout)","【查阅明细】展开视图：默认模式。每一条 read 在单独行中完整展示，以查阅详细比对信息。"
"squish","06-视图与轨道(Layout)","【高覆盖度】挤压视图：减小行高在屏幕内显示尽可能多的reads，适合局部高深度区域。"
"collapse","06-视图与轨道(Layout)","【宏观覆盖】折叠视图：轨道高度压缩至最小，隐藏重叠reads细节，用于粗略查看全基因组测序深度。"
"viewaspairs","06-视图与轨道(Layout)","【配对检视】配对连线模式：开启后同一个片段的两端reads会用细灰线连接显示。"
"setDataRange <min> <max>","06-视图与轨道(Layout)","【表观/定量必用】固定图表类轨道的Y轴数据显示范围，确保不同样本具有相同的对比基准。"
"overlay <target> <tracks>","06-视图与轨道(Layout)","将多个数值型轨道叠加合并到同一视图，极大地便利于ChIP-seq等峰值对比。"
"setColor <R,G,B> [track]","06-视图与轨道(Layout)","使用RGB数值(如255,0,0)更改指定轨道的颜色。"
"setAltColor <R,G,B> [track]","06-视图与轨道(Layout)","为指定轨道设置备用颜色，常用于负值图表或分离正负链时的辅助色。"
"setLogScale","06-视图与轨道(Layout)","将图表数据轨道(如BigWig)切换为对数(Log)缩放显示模式。"
"snapshotDirectory <path>","07-导出截图(Export)","【批处理基石】指定接下来的snapshot截图命令默认保存图片的本地文件夹绝对路径。例如：C:/download/"
"snapshot [filename]","07-导出截图(Export)","【核心产出】对当前IGV视图进行截图。可根据后缀保存为.png或矢量图.svg格式。例如：screenshot_20260630.png"
"maxPanelHeight <height>","07-导出截图(Export)","【防截断】设置截图包含的最大纵向像素高度，调大可截长图；设为-1仅截当前可见部分。"
"setSleepInterval <ms>","08-系统设置(System)","【防报错】设置批处理命令间的等待休眠时间，防止网络或I/O延迟导致数据未加载完即被截图。"
"preference <key> <value>","08-系统设置(System)","临时修改高级底层偏好设置，关闭IGV后失效。"
"echo [param]","08-系统设置(System)","端口模式调试用，回显输入的参数验证连通性。"
"exit","08-系统设置(System)","【自动化收尾】完全退出并关闭IGV软件进程，释放内存。"
